src_id,tgt_id,source,target,kind,relationship_note,needs_care,current_cite,new_citation,confirmed
sombart,leontief,Werner Sombart,Wassily Leontief,influence,Berlin doctoral milieu — verify advisor,YES,std. HET reference — confirm,,
roscher,wagner,Wilhelm Roscher,Adolph Wagner,influence,loose — verify,YES,std. HET reference — confirm,,
roscher,brentano,Wilhelm Roscher,Lujo Brentano,influence,loose — verify,YES,std. HET reference — confirm,,
smith,ricardo,Adam Smith,David Ricardo,influence,,,std. HET reference — confirm,,
smith,list,Adam Smith,Friedrich List,influence,List reacts to Smith,,std. HET reference — confirm,,
marshall,pigou,Alfred Marshall,Arthur C. Pigou,strong,Cambridge succession,,std. HET reference — confirm,,
marshall,keynes,Alfred Marshall,John Maynard Keynes,strong,Cambridge succession,,std. HET reference — confirm,,
aweber,christaller,Alfred Weber,Walter Christaller,influence,,,std. HET reference — confirm,,
loesch,isard,August Lösch,Walter Isard,influence,regional science,,std. HET reference — confirm,,
hildebrand,buecher,Bruno Hildebrand,Karl Bücher,influence,stages tradition,,std. HET reference — confirm,,
menger,boehm,Carl Menger,Eugen von Böhm-Bawerk,influence,,,std. HET reference — confirm,,
menger,knight,Carl Menger,Frank H. Knight,influence,Austrian capital theory received at Chicago,,std. HET reference — confirm,,
menger,wieser,Carl Menger,Friedrich von Wieser,influence,,,std. HET reference — confirm,,
menger,walras,Carl Menger,Léon Walras,parallel,independent co-discovery 1871,,std. HET reference — confirm,,
ricardo,marshall,David Ricardo,Alfred Marshall,influence,,,std. HET reference — confirm,,
ricardo,marx,David Ricardo,Karl Marx,influence,,,std. HET reference — confirm,,
boehm,schumpeter,Eugen von Böhm-Bawerk,Joseph A. Schumpeter,strong,Böhm-Bawerk seminar,,std. HET reference — confirm,,
boehm,wicksell,Eugen von Böhm-Bawerk,Knut Wicksell,influence,Austrian capital theory,,std. HET reference — confirm,,
boehm,mises,Eugen von Böhm-Bawerk,Ludwig von Mises,strong,Böhm-Bawerk seminar,,std. HET reference — confirm,,
knight,friedman,Frank H. Knight,Milton Friedman,strong,Chicago; Knight taught Friedman,,std. HET reference — confirm,,
taussig,viner,Frank W. Taussig,Jacob Viner,strong,Harvard doctoral advisor,,std. HET reference — confirm,,
list,hildebrand,Friedrich List,Bruno Hildebrand,influence,,,std. HET reference — confirm,,
list,roscher,Friedrich List,Wilhelm Roscher,influence,stages/national-economy lineage,,std. HET reference — confirm,,
hayek,hicks,Friedrich von Hayek,John R. Hicks,influence,LSE,,std. HET reference — confirm,,
hayek,robbins,Friedrich von Hayek,Lionel Robbins,influence,LSE colleagues,,std. HET reference — confirm,,
wieser,hayek,Friedrich von Wieser,Friedrich von Hayek,strong,Hayek's Vienna mentor,,std. HET reference — confirm,,
haberler,viner,Gottfried von Haberler,Jacob Viner,influence,interwar trade theory,,std. HET reference — confirm,,
cassel,ohlin,Gustav Cassel,Bertil Ohlin,influence,,,std. HET reference — confirm,,
schmoller,spiethoff,Gustav von Schmoller,Arthur Spiethoff,strong,Spiethoff was Schmoller's assistant in Berlin,,std. HET reference — confirm,,
schmoller,menger,Gustav von Schmoller,Carl Menger,methodenstreit,the 1883 dispute,,std. HET reference — confirm,,
schmoller,commons,Gustav von Schmoller,John R. Commons,influence,historical method → US institutionalism,,std. HET reference — confirm,,
schmoller,sombart,Gustav von Schmoller,Werner Sombart,strong,Sombart was Schmoller's protégé,,std. HET reference — confirm,,
fisher,friedman,Irving Fisher,Milton Friedman,influence,quantity theory,,std. HET reference — confirm,,
viner,friedman,Jacob Viner,Milton Friedman,influence,Chicago teacher,,std. HET reference — confirm,,
thuenen,aweber,Johann H. von Thünen,Alfred Weber,influence,location theory lineage,,std. HET reference — confirm,,
keynes,samuelson,John Maynard Keynes,Paul A. Samuelson,influence,neoclassical synthesis,,std. HET reference — confirm,,
mill,marshall,John Stuart Mill,Alfred Marshall,influence,,,std. HET reference — confirm,,
schumpeter,taussig,Joseph A. Schumpeter,Frank W. Taussig,influence,Harvard colleagues,,std. HET reference — confirm,,
schumpeter,haberler,Joseph A. Schumpeter,Gottfried von Haberler,strong,Vienna,,std. HET reference — confirm,,
schumpeter,samuelson,Joseph A. Schumpeter,Paul A. Samuelson,strong,Harvard student,,std. HET reference — confirm,,
knies,schmoller,Karl Knies,Gustav von Schmoller,influence,,,std. HET reference — confirm,,
knies,jbclark,Karl Knies,John Bates Clark,strong,Clark studied under Knies at Heidelberg,,std. HET reference — confirm,,
knies,mweber,Karl Knies,Max Weber,influence,Weber held Knies's Heidelberg chair,,std. HET reference — confirm,,
marx,sombart,Karl Marx,Werner Sombart,influence,,,std. HET reference — confirm,,
wicksell,ohlin,Knut Wicksell,Bertil Ohlin,strong,Stockholm school,,std. HET reference — confirm,,
wicksell,myrdal,Knut Wicksell,Gunnar Myrdal,strong,Stockholm school,,std. HET reference — confirm,,
wicksell,cassel,Knut Wicksell,Gustav Cassel,influence,,,std. HET reference — confirm,,
mises,hayek,Ludwig von Mises,Friedrich von Hayek,strong,Mises Privatseminar,,std. HET reference — confirm,,
mises,haberler,Ludwig von Mises,Gottfried von Haberler,influence,Vienna seminar,,std. HET reference — confirm,,
mises,robbins,Ludwig von Mises,Lionel Robbins,influence,LSE; Austrian reception in England,,std. HET reference — confirm,,
mises,roepke,Ludwig von Mises,Wilhelm Röpke,influence,Mont Pèlerin / liberal revival,,std. HET reference — confirm,,
walras,hicks,Léon Walras,John R. Hicks,influence,Value and Capital; GE synthesis,,std. HET reference — confirm,,
walras,wicksell,Léon Walras,Knut Wicksell,influence,general equilibrium,,std. HET reference — confirm,,
walras,pareto,Léon Walras,Vilfredo Pareto,strong,Lausanne succession,,std. HET reference — confirm,,
walras,leontief,Léon Walras,Wassily Leontief,influence,GE → input–output,,std. HET reference — confirm,,
mweber,knight,Max Weber,Frank H. Knight,influence,Knight translated Weber's Economic History,,std. HET reference — confirm,,
veblen,mitchell,Thorstein Veblen,Wesley C. Mitchell,strong,Veblen taught Mitchell,,std. HET reference — confirm,,
leontief,samuelson,Wassily Leontief,Paul A. Samuelson,strong,Harvard teacher,,std. HET reference — confirm,,
sombart,mweber,Werner Sombart,Max Weber,influence,Archiv co-editors; mutual,,std. HET reference — confirm,,
roscher,schmoller,Wilhelm Roscher,Gustav von Schmoller,influence,older → younger school,,std. HET reference — confirm,,
jevons,marshall,William S. Jevons,Alfred Marshall,influence,,,std. HET reference — confirm,,
jevons,menger,William S. Jevons,Carl Menger,parallel,independent co-discovery 1871,,std. HET reference — confirm,,
jevons,fisher,William S. Jevons,Irving Fisher,influence,marginalism → US neoclassical,,std. HET reference — confirm,,
jevons,walras,William S. Jevons,Léon Walras,parallel,independent co-discovery 1871,,std. HET reference — confirm,,
