mid,name,orcid,cand_name,affiliation,note
allgoewer-elisabeth,Elisabeth Allgoewer,,,,NO HIT — ask the member directly
barens-ingo,Ingo Barens,,,,NO HIT — ask the member directly
blomert-reinhard,Reinhard Blomert,,,,NO HIT — ask the member directly
bieri-david,David Bieri,0000-0002-4322-5950,David Bieri,Bank for International Settlements; Durham University,
caspari-volker,Volker Caspari,,,,NO HIT — ask the member directly
chaloupek-guenther,Günther Chaloupek,,,,NO HIT — ask the member directly
dopfer-kurt,Kurt Dopfer,0000-0003-0969-1613,kurt dopfer,,
ebner-alexander,Alexander Ebner,0000-0001-9207-4653,Alexander Ebner,,
ehnts-dirk,Dirk Ehnts,0000-0001-8628-9797,Dirk Ehnts,Torrens University Australia,
flechtner-svenja,Svenja Flechtner,0000-0002-0970-9150,Svenja Flechtner,University of Siegen,
frambach-hans,Hans Frambach,0009-0000-8990-9322,Hans Frambach,University of Wuppertal,
gehrke-christian,Christian Gehrke,0000-0003-2244-8845,Christian Gehrke,European Society for the History of Economic Thought; University of Graz,
goldschmidt-nils,Nils Goldschmidt,0000-0003-3261-3779,Nils Goldschmidt,,
greitens-jan,Jan Greitens,0000-0001-9521-5335,Jan Greitens,,
grudev-lachezar,Lachezar Grudev,,,,NO HIT — ask the member directly
hagemann-harald,Harald Hagemann,0000-0002-6093-9496,Harald Hagemann,,
harada-tetsushi,Tetsushi Harada,,,,NO HIT — ask the member directly
hartwig-jochen,Jochen Hartwig,0000-0002-8138-5920,Jochen Hartwig,,
hesse-jan-otmar,Jan-Otmar Hesse,0000-0002-5754-4637,Jan-Otmar Hesse,Universität Bayreuth,
horn-karen,Karen Horn,0000-0003-2431-906X,Karen Horn,,
janssen-hauke,Hauke Janssen,,,,NO HIT — ask the member directly
klausinger-hansjoerg,Hansjörg Klausinger,0000-0002-7724-1422,Hansjörg Klausinger,Vienna University of Economics and Business,
klump-rainer,Rainer Klump,0000-0003-2424-132X,Rainer Klump,Friedrich-Alexander-University Erlangen-Nürnberg; Friedrich-Alexander-Universität Erlangen-Nürnberg,
kolev-stefan,Stefan Kolev,,,,
kraemer-hagen,Hagen Krämer,0000-0002-0504-1341,Hagen M. Krämer,,
kremser-christian,Christian Kremser,0000-0002-6953-935X,Christian Kremser,Tirol Kliniken; Universität Innsbruck,
kuesters-anselm,Anselm Küsters,,,,NO HIT — ask the member directly
kurz-heinz-d,Heinz D. Kurz,,,,
landmann-oliver,Oliver Landmann,0000-0003-3136-7692,Oliver Landmann,,
lorenz-hans-walter,Hans-Walter Lorenz,0000-0001-9269-3593,Hans-Walter Lorenz,,
milford-karl,Karl Milford,,,,NO HIT — ask the member directly
peukert-helge,Helge Peukert,0000-0001-5059-6904,Helge Peukert,,
priddat-birger,Birger Priddat,0009-0008-5642-5071,Birger Priddat,Private Universität Witten/Herdecke gGmbH; Witten/Herdecke University,
rieter-heinz,Heinz Rieter,,,,NO HIT — ask the member directly
roessner-philipp-robinson,Philipp Robinson Rössner,,,,NO HIT — ask the member directly
rosner-peter,Peter Rosner,0009-0004-4638-8159,Peter Rosner,,
scheer-christian,Christian Scheer,0009-0008-0518-6971,Christian Scheer,,
schefold-bertram,Bertram Schefold,0000-0002-0532-7358,Bertram Schefold,,
schmidt-johannes,Johannes Schmidt,,,,
spahn-peter,Peter Spahn,0000-0002-4541-937X,peter spahn,,
sturn-richard,Richard Sturn,0000-0002-8479-0163,Richard Sturn,Universität Innsbruck; Universität Wien,
todt-horst,Horst Todt,0000-0001-5517-1526,Horst Todt,,
trautwein-hans-michael,Hans-Michael Trautwein,0009-0008-8914-9624,Hans-Michael Trautwein,Carl von Ossietzky Universität Oldenburg,
trautwein-hans-michael,Hans-Michael Trautwein,0009-0008-8914-9624,Michael Trautwein,,
wagner-helmut,Helmut Wagner,0009-0009-0659-3445,Helmut Michael Wagner,University of Hagen,
wegner-gerhard,Gerhard Wegner,0000-0001-8181-2198,Gerhard Wegner,,
weizsaecker-carl-christian-von,Carl Christian von Weizsäcker,,,,
zweynert-joachim,Joachim Zweynert,0009-0008-1852-1855,Joachim Zweynert,Witten/Herdecke University,
