KEEP,THEMES,mid,member,year,type,title,venue,authors,doi,published_version
,general,braun-eduard,Eduard Braun,2026,article,The Implicit Market Fundamentalism of Interventionists,The Economists’ Voice,Eduard Braun,10.1515/ev-2025-0032,
,general,braun-eduard,Eduard Braun,2026,book,Capital and Capitalism,Routledge,Eduard Braun,10.4324/9781003501046,
,general,braun-eduard,Eduard Braun,2026,chapter,Capital in actual business life,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-3,
,general,braun-eduard,Eduard Braun,2026,chapter,Capital in conventional economic theory,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-2,
,general,braun-eduard,Eduard Braun,2026,chapter,Conclusion,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-8,
,general,braun-eduard,Eduard Braun,2026,chapter,Economic calculation,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-4,
,general,braun-eduard,Eduard Braun,2026,chapter,Introduction,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-1,
,general,braun-eduard,Eduard Braun,2026,chapter,The societal role of capital in capitalism,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-5,
,general,braun-eduard,Eduard Braun,2026,chapter,The theoretical foundations of value-orientation,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-6,
,general,braun-eduard,Eduard Braun,2026,chapter,Value-orientation as a misplaced blueprint for economic practice,Capital and Capitalism,Eduard Braun,10.4324/9781003501046-7,
,distribution,braun-eduard,Eduard Braun,2026,wp,Capital Theory and Liberty - Why They Belong Together,Elsevier BV,Eduard Braun,10.2139/ssrn.6905559,
x,"austrian,distribution",braun-eduard,Eduard Braun,2025,article,Capital is not a factor of production but organizes the allocation and distribution of resources in capitalism,The Review of Austrian Economics 38(4),Eduard Braun,10.1007/s11138-024-00655-1,
,"austrian,monetary",braun-eduard,Eduard Braun,2025,article,Fair value accounting and Austrian business cycle theory: what can we learn from the German crisis of 1873?,Accounting History Review 35(3),Eduard Braun · Florian Follert,10.1080/21552851.2025.2487258,
,austrian,braun-eduard,Eduard Braun,2024,article,De-homogenizing the Austrian Theory of Capital,New Perspectives on Political Economy 20(1-2),Eduard Braun,10.62374/ewcd8j17,
,general,braun-eduard,Eduard Braun,2024,article,The calculating entrepreneur — The role of economic calculation in supporting alertness and creative destruction,Managerial and Decision Economics 45(8),Eduard Braun · Florian Follert,10.1002/mde.4341,
x,"monetary,historical",braun-eduard,Eduard Braun,2023,article,The German historical school on monetary calculation and the feasibility of socialism,Journal of Institutional Economics 19(5),Eduard Braun,10.1017/S1744137423000127,
,"austrian,keynesian",braun-eduard,Eduard Braun,2023,article,The Keynesian Diminisher,"MISES: Interdisciplinary Journal of Philosophy, Law and Economics 11",Eduard Braun,10.30800/mises.2023.v11.1462,
,"austrian,distribution",braun-eduard,Eduard Braun,2023,chapter,Carl Mengers contribution to capital theory,Mengerian Economics,Eduard Braun,10.4337/9781035302895.00012,
,evolutionary,braun-eduard,Eduard Braun,2022,article,"The Entrepreneurial Function as an Element of the Institutional Framework of Capitalism: The Enterprise, Not the Pure Entrepreneur, is Relevant",Journal of Economic Issues 56(3),Eduard Braun,10.1080/00213624.2022.2079934,
,general,braun-eduard,Eduard Braun,2022,article,Accounting for Market Equilibrium – Comparing the Revenue-Expense to the Balance-Sheet Approach,"Accounting, Economics, and Law: A Convivium 12(1)",Eduard Braun,10.1515/ael-2018-0024,
,general,braun-eduard,Eduard Braun,2022,article,Robinson Crusoe,,Eduard Braun,,
,general,braun-eduard,Eduard Braun,2022,article,Robinson Crusoe,,Eduard Braun,,
,general,braun-eduard,Eduard Braun,2022,article,Robinson Crusoe,,Eduard Braun,,
,evolutionary,braun-eduard,Eduard Braun,2021,article,The Importance of a Realistic Theory of Capital for Institutional Reform – The Case of Financial Accounting,New Perspectives on Political Economy 17(1-2),Eduard Braun Eduard Braun,10.62374/n0j6g531,
,"evolutionary,methodology",braun-eduard,Eduard Braun,2021,article,The institutional preconditions of homo economicus,Journal of Economic Methodology 28(2),Eduard Braun,10.1080/1350178X.2021.1898659,
,"austrian,evolutionary",braun-eduard,Eduard Braun,2020,article,"Carl Menger:Contribution to the Theory of Capital(1888), Section V",Journal of Institutional Economics 16(4),Eduard Braun,10.1017/S1744137420000132,
,ordoliberal,braun-eduard,Eduard Braun,2020,article,Das Paradox der Freiheit – Der Sozialismus als individualistische Weltanschauung,ORDO 71(1),Eduard Braun,10.1515/ordo-2021-0008,
,general,braun-eduard,Eduard Braun,2020,article,Towards a theory of business capital,,Eduard Braun,10.21268/20200115-0,
,austrian,braun-eduard,Eduard Braun,2020,article,"Capital as in capitalism, or capital as in capital goods, or both?",The Review of Austrian Economics 33(3),Eduard Braun,10.1007/s11138-018-0415-6,
,general,braun-eduard,Eduard Braun,2019,article,The Ecological Rationality of Historical Costs and Conservatism,"Accounting, Economics, and Law: A Convivium 9(1)",Eduard Braun,10.1515/ael-2015-0013,
,evolutionary,braun-eduard,Eduard Braun,2019,article,Concluding Remarks on the Symposium on the Evolutionary Advantage of Cost Accounting and Conservatism,"Accounting, Economics, and Law: A Convivium 9(1)",Eduard Braun,10.1515/ael-2017-0049,
,evolutionary,braun-eduard,Eduard Braun,2018,article,The market process of capitalization: a laboratory experiment on the effectiveness of private information,Journal of Evolutionary Economics 28(4),Eduard Braun · Wiebke Roß,10.1007/s00191-017-0508-6,
x,evolutionary,braun-eduard,Eduard Braun,2017,article,The theory of capital as a theory of capitalism,Journal of Institutional Economics 13(2),EDUARD BRAUN,10.1017/S1744137416000394,
,"austrian,monetary",braun-eduard,Eduard Braun,2017,article,The rise and fall of the subsistence fund as a resource constraint in Austrian business cycle theory,The Review of Austrian Economics 30(2),Eduard Braun · David Howden,10.1007/s11138-016-0347-y,
,"austrian,evolutionary",braun-eduard,Eduard Braun,2016,article,Ludwig von Mises's approach to capital as a bridge between Austrian and institutional economics,Journal of Institutional Economics 12(4),EDUARD BRAUN · PETER LEWIN · NICOLÁS CACHANOSKY,10.1017/S1744137416000102,
,historical,braun-eduard,Eduard Braun,2016,article,The German historical school on the impossibility of economic calculation under socialism,Betriebswirtschaftliche Forschung und Praxis,Eduard Braun,,
