volN,pages,themes,confidence,decision,source
1,9–52,"smith, distribution",high,keep,2nd pass
1,53–92,classical,high,change,2nd pass
1,93–110,smith,high,keep,2nd pass
1,111–116,smith,high,change,2nd pass
1,117–134,"classical, marxian",high,expand/reduce,2nd pass
1,137,distribution,medium,change,2nd pass
2,9–62,preclassical,high,keep,2nd pass
2,63–92,preclassical,high,keep,2nd pass
2,93–130,"preclassical, monetary",high,keep,2nd pass
2,131–148,"preclassical, public_finance",high,expand/reduce,2nd pass
2,149,"preclassical, public_finance, econ_history",high,change,2nd pass
3,9–36,preclassical,high,keep,2nd pass
3,37–54,preclassical,medium,keep,2nd pass
3,55–100,preclassical,medium,keep,2nd pass
3,101–133,"preclassical, public_finance",high,change,2nd pass
3,139,methodology,high,change,"2nd pass; preclassical removed (volume rule false positive — chapter is methodological, not physiocratic)"
4,9–24,"keynesian, monetary",high,keep,2nd pass
4,27–65,"keynesian, evolutionary",high,keep,2nd pass
4,73–106,"keynesian, evolutionary",high,keep,2nd pass
4,107,marxian,high,keep,2nd pass
5,9–28,preclassical,high,keep,2nd pass
5,29–80,classical,high,change,2nd pass
5,81–110,smith,high,keep,2nd pass
5,111,monetary,high,change,2nd pass
6,9–28,monetary,high,change,2nd pass
6,29–60,classical,high,change,2nd pass
6,65–104,general,medium,keep,2nd pass
6,105–170,public_finance,high,expand/reduce,2nd pass
6,171,austrian,high,change,2nd pass
7,9–34,monetary,high,keep,2nd pass
7,35–64,monetary,high,keep,2nd pass
7,65–76,"keynesian, monetary",high,keep,2nd pass
7,77–98,"monetary, historical",high,keep,2nd pass
7,99–126,evolutionary,high,keep,2nd pass
7,127,general,high,keep,2nd pass
8,11–62,classical,medium,change,2nd pass
8,63–74,general,high,keep,2nd pass
8,75–86,monetary,high,keep,2nd pass
8,87–102,monetary,high,keep,2nd pass
8,103–140,"austrian, monetary, evolutionary",high,expand/reduce,2nd pass
8,141–170,monetary,high,keep,2nd pass
8,171,general,low,keep,2nd pass
9,19–56,public_finance,high,change,2nd pass
9,57–94,"preclassical, methodology",medium,change,2nd pass
9,95,methodology,high,change,2nd pass
10,11–62,general,medium,keep,2nd pass
10,63–78,general,medium,keep,2nd pass
10,79–102,distribution,low,change,2nd pass
10,103–114,public_finance,medium,keep,kept 1st pass (2nd demoted public_finance → general)
10,115–152,econ_history,medium,change,2nd pass
10,153–196,austrian,high,keep,2nd pass
10,197,feminist,high,change,2nd pass
11,13–90,general,high,keep,2nd pass
11,91–108,monetary,medium,change,2nd pass
11,109–132,general,high,keep,2nd pass
11,133–190,general,high,keep,2nd pass
11,191–238,general,high,keep,2nd pass
11,239–256,general,high,keep,2nd pass
11,257–280,general,high,keep,2nd pass
11,281–300,"ordoliberal, historical",high,keep,2nd pass
11,301,austrian,high,change,2nd pass
